@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
1,0.01,1.013437,0.018753,0.012018,0.211471,0.859323,0.997814,0.792432,0.081422,0.030372,0.662682,0.045637,0.97934,0,0.020043,0,0,0.000617,0
1,0.01,0.165313,0.191557,0.846115,0.356054,0.855804,0.982808,0.069293,0.291667,0.231061,0.028409,0.00189,0.769376,0,0.230624,0,0,0,0
5,0.97,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.02,0.177187,0.780506,0.655463,0.693939,0.982733,0.990023,0.105263,0.068345,0.591727,1.172662,0.0194,0.895944,0.077601,0.001764,0,0,0.024691,0
3,0.53,0.787188,0.06199,0,0.187969,0.868066,0.980317,0.136812,0.995626,0.86998,0.699801,0.001588,0.005955,0.004764,0.989281,0,0,0,1
1,0.03,0.993437,0.277366,0.823872,0.269859,0.663822,0.958803,0.333031,0.383764,2.932349,0.527675,0.744259,0.894936,0.018245,0.062284,0,0,0.024536,0
1,0,1.005,0.232451,0.431803,0.262255,0.918824,0.996922,0.607254,0.104011,0.119877,1.184663,0.294465,0.389614,0.610386,0,0,0,0,0
1,0.02,1.010938,0.843798,0.085876,0.268983,0.946556,0.997361,0.723803,0.272825,0.09849,1.157081,0.140031,0.321484,0.678516,0,0,0,0,0
5,1,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.01,1.010625,0.038736,0.612859,0.170483,0.891332,0.996769,0.334052,0.110956,0.123027,1.05571,0.333952,0.979592,0.005257,0.014842,0,0,0.000309,0
1,0.01,0.693438,0.045093,0.334448,0.337778,0.938013,0.997768,0.290249,0.445746,1.095262,0.033113,0.115367,0.668319,0.043713,0.287968,0,0,0,0
1,0,1.000625,0.000176,0.241796,0.040753,0.684861,0.997084,0.973699,0.301648,0.008432,0.217708,0.185197,0.913804,0.008745,0.076202,0.001249,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1.008125,0,0.37913,0.081132,0.497646,0.961196,0.122813,0.33819,0,0.451643,0,0.65902,0.113763,0.227216,0,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1.007813,0.121863,0.049759,0.061583,0.692055,0.997295,0.701635,0.179706,0.005808,0.721216,0.092403,0.867287,0.12062,0.002481,0.009612,0,0,0
1,0.008,1.000312,0.005922,0.230256,0.248991,0.906648,0.996539,0.513716,0.20453,0.866507,0.990391,0.089659,0.741956,0.241175,0.01687,0,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
2,0,1.011562,0.023291,0.737267,0.148467,0.900821,0.994838,0.235294,0.124635,0.117549,1.662776,0.258882,0,0.954897,0,0.045103,0,0,0
1,0.01,0.424687,0.376196,0.739589,0.656226,0.969086,0.994446,0.663951,0.126566,0.235589,1.303258,0.412804,0.559235,0.340692,0.030905,0.066225,0,0.002943,0
1,0,0.801875,0.298658,0.969,0.446945,0.923089,0.996853,0.296687,0.211566,0.071462,2.072873,0.171083,0.760717,0.128995,0.051442,0,0.033125,0.025721,0
1,0.01,1.006875,0.19557,0.927524,0.062,0.72958,0.997952,0.996663,0.437873,0.174232,0.649702,0.323091,0.996586,0.003414,0,0,0,0,0
2,0,1.00125,0.041095,0.277635,0.12093,0.842665,0.997783,0.404652,0.214436,0.047652,1.282411,0.554619,0.501561,0.496567,0,0.001561,0,0.000312,0
3,0.09,0.5125,0.539526,0.880243,0.638631,0.995328,0.995407,0.818182,0.735104,3.026554,0.113342,0.058537,0.240854,0.121341,0.618902,0.011585,0,0.007317,0
5,0.98,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.05,1.01375,0.5151,0.508598,0.10139,0.731178,0.997499,0.573016,0.044901,0.036883,0.461835,0.038841,0.888409,0.003699,0.015413,0.091554,0,0.000925,0
2,0.02,0.999687,0,0.890106,0.016095,0.31824,0.974766,0.569849,0.52988,0,4.659363,0.843076,0.117849,0.878712,0.00125,0,0.002188,0,0
5,1,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.01,1.0125,0.527253,0.635278,0.26521,0.895336,0.99681,0.456038,0.13573,0.166178,1.490829,0.158642,0.98642,0.012654,0.000926,0,0,0,0
1,0.045,1.011562,0.186483,0.090484,0.297975,0.93697,0.997781,0.2339,0.124409,0.253075,0.976821,0.346926,0.514674,0.373494,0.000618,0.1038,0,0.007414,0
5,0.99,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.01,0.502188,0.33219,0.810492,0.159706,0.569511,0.994959,0.724138,0.899807,1.268465,0.007065,0.031114,0.605476,0.383945,0.010579,0,0,0,0
1,0.05,1.00375,0,0.059916,0.192432,0.784054,0.997905,0.488534,0.990479,3.382523,0.691601,0.084371,0.866127,0.004981,0.127335,0,0,0.001557,0
2,0.01,1.005625,0.616284,0.487753,0.045189,0.604953,0.995707,0.406959,0.235139,0.073976,1.614267,0.764761,0.560907,0.439093,0,0,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
5,0.99,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.02,0.03375,0.010633,0.241677,0.449255,0.839162,0.9359,0.62,0.370968,0.016129,0.306452,0.425926,0.833333,0,0.166667,0,0,0,0
2,0.01,1.0025,0.311702,0.721169,0.072129,0.768564,0.997874,0.88991,0.442929,0.044111,1.254661,0.314526,0,1,0,0,0,0,0
1,0,1.005,0.000372,0.888254,0.074399,0.677272,0.995748,0.649415,0.160617,0.012704,0.367514,0.657338,0.812189,0.187811,0,0,0,0,0
5,0.91,1.01375,0,0,0.001353,0.509547,0.645598,0.97671,0.904881,2.302879,0.072278,0.014797,0,0,0,0,1,0,1
2,0,1.00875,0.921843,0.820309,0.20015,0.830569,0.99672,0.655629,0.055313,0.003688,1.197117,0.075898,0.318773,0.681227,0,0,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
2,0.05,1.014687,0.261684,0.398421,0.071109,0.752746,0.997639,0.739668,0.47405,0.135774,1.182113,0.335387,0.056976,0.941792,0,0.001232,0,0,0
2,0,0.052812,0.019912,0.810451,0.148867,0.780228,0.957182,0.217011,0.091463,0.006098,0.676829,0.029586,0,0.715976,0,0,0,0.284024,0
1,0,0.98875,0.015498,0.003058,0.175601,0.854719,0.996177,0.835602,0.011016,0.003672,1.019584,0.225348,0.857459,0.11536,0,0.026549,0,0.000632,0
2,0,0.966875,0.028498,0.622755,0.362741,0.961142,0.997413,0.527045,0.578571,0.565476,0.751786,0.457014,0.446025,0.535553,0.010989,0.006464,0,0.00097,0
