@relation metaDMTraining

@attribute textProbability numeric
@attribute deviceType {1,2,3,4,5,6}
@attribute isReply {0,1}
@attribute isRetweet {0,1}
@attribute hashtagDensity numeric
@attribute urlDensity numeric
@attribute mentionDensity numeric
@attribute accountRep numeric
@attribute statusesPerDay numeric
@attribute favoritesPerDay numeric
@attribute class_attr {0,1}

@data
0,2,0,0,0,0,0,0.521026,3.464078,1.003398,0
0,1,1,0,0,0,0.066667,0.541932,2.196836,0.145726,0
0.98,3,0,0,0,0,0,0.875,54.642198,0,1
0.03,1,0,0,0,0,0,0.425987,10.482589,1.354018,0
1,5,1,0,0,0.125,0.125,0.999945,277.870783,0.001715,1
0.01,1,0,0,0,0,0,0.450517,18.236104,1.149924,0
1,5,1,0,0,0.142857,0.142857,0.999945,279.983485,0.001708,1
0,1,0,0,0,0,0,0.321839,18.257723,9.969109,0
0.01,1,1,0,0,0,0.166667,0.809964,72.462745,37.864314,0
0,1,1,0,0,0,0.05,0.759512,21.95042,1.716247,0
1,3,0,0,0,0,0,0.871795,54.655141,0,1
0.84,5,1,0,0,0.1,0.1,0.999945,277.146537,0.001717,1
0.01,1,1,0,0,0,0.4,0.509149,14.110006,1.690827,0
0,1,1,0,0,0,0.666667,0.719008,54.875138,52.234254,0
0,3,0,0,0.625,0.125,0,0.443243,5.624049,0.024353,0
0.01,1,0,0,0,0,0,0.636449,5.324682,5.617338,0
0.94,5,1,0,0,0.111111,0.111111,0.999945,277.311785,0.001716,1
0,2,0,0,0,0,0,0.68935,45.236424,39.263158,0
0,1,0,0,0,0,0,0.635093,165.435685,127.793914,0
0.01,1,1,0,0,0,0.230769,0.740979,2.21561,0.443676,0
0.02,1,0,0,0,0,0.166667,0.352087,57.0625,48.408203,0
0,1,1,0,0,0,0.272727,0.448772,52.348774,64.686649,0
0.07,1,0,0,0.055556,0.055556,0.111111,0.412428,34.929298,11.605799,0
1,3,0,0,0,0,0,1,215.339737,0,1
0.99,3,0,0,0,0,0,0.419355,12.591209,0.01011,1
0,1,1,0,0,0,0.5,0.450495,3.881235,2.406176,0
1,5,0,0,0.130435,0,0,0.814159,23.413793,0,1
0.01,2,1,0,0,0,0.076923,0.421687,5.982987,25.640832,0
0,1,0,0,0,0,0,0.360784,8.728579,17.303616,0
0,1,0,0,0,0,0.166667,0.467914,28.222222,9.666667,0
0,3,0,0,0.1875,0.0625,0.0625,0.338235,0.580247,0,0
0.02,2,0,0,0.045455,0,0,0.316686,10.644231,7.071429,0
0.02,1,1,0,0,0,0.111111,0.384181,0.196299,0.492399,0
1,3,0,0,0,0,0,0.878049,54.613216,0,1
1,3,0,0,0,0,0,1,214.455495,0,1
0,1,0,0,0,0,0,0.692393,22.773504,32.068376,0
1,3,0,0,0,0,0,1,218.155993,0,1
1,3,0,0,0,0,0,1,216.800548,0,1
1,3,0,0,0,0,0,1,216.530702,0,1
0.02,1,0,0,0,0.1,0,0.326778,2.401135,3.436771,0
0,2,0,0,0,0,0,0.940561,78.272414,148.873563,0
0,2,1,0,0.090909,0,0.818182,0.677632,96.357595,0.560127,0
1,3,0,0,0,0,0,1,217.953476,0,1
0.03,4,0,0,0,0.05,0,0.503592,496.603349,0,0
0,1,0,0,0,0,0,0.441221,10.051525,8.373291,0
0.02,1,0,0,0.076923,0,0.076923,0.298755,0.810796,0.90985,0
0.05,1,0,0,0,0,0,0.479482,6.009117,0.841026,0
0.04,2,0,0,0,0,0,0.511777,8.420783,0.44603,0
0.01,6,0,0,0,0.071429,0,0.272264,63.966862,24.745614,0
0,2,1,0,0.1,0,0.8,0.679245,98.2,0.55625,0
0.01,1,0,0,0,0.2,0,0.75419,1.930795,2.893446,0
1,3,0,0,0,0,0,1,217.68839,0,1
0.01,2,0,0,0,0,0,0.272727,42.271084,0.001721,0
0,1,0,0,0,0,0,0.550229,47.991095,1.422734,0
0.02,1,0,0,0.045455,0,0.090909,0.545024,4.613647,11.29645,0
0,3,0,0,0,0.25,0,0.147887,0.426281,0.007822,0
0,1,0,0,0.111111,0,0,0.245974,7.151596,4.159574,0
0,2,0,0,0,0,0,0.524691,3.465148,0.712678,0
0,1,1,0,0,0,0.222222,0.214543,5.127343,0.239123,0
1,3,0,0,0,0,0,1,214.328752,0,1
0.03,1,0,0,0,0,0.05,0.24026,14.749599,0.024077,0
1,5,1,0,0,0.142857,0.142857,0.999945,277.26087,0.001716,1
0,1,1,0,0,0,0.111111,0.576986,1.259965,0.280416,0
0.03,2,1,0,0,0,0.043478,0.6,3.33913,1.028986,0
0.02,1,0,0,0,0,0,0.737362,6.30202,0.602757,0
1,3,0,0,0,0,0,1,213.197028,0,1
0.99,5,0,0,0,0,0,0.298611,9.942795,0,1
0.03,2,0,0,0,0,0,0.270474,2.142857,0.491575,0
0,2,1,0,0,0,0.2,0.744814,73.950071,76.983595,0
0.03,1,1,0,0,0,0.133333,0.28841,3.807882,2.453202,0
0.03,1,1,0,0,0,0,0.610063,21.755563,18.096885,0
0,2,0,0,0,0,0,0.977813,16.236542,4.755302,0
0.02,2,0,0,0,0,0,0.272727,42.611492,0.001715,0
0.01,1,0,0,0,0.111111,0,0.577618,1.231758,0.264767,0
0,1,0,0,0,0,0,0.657995,5.054673,3.981564,0
0.09,1,0,0,0,0.2,0,0.555829,2.78047,0.506058,0
0.84,3,0,0,0,0,0,0.357143,4.013229,0.000413,1
0.01,1,1,0,0,0,0,0.5,11.622449,5.112245,0
1,3,0,0,0,0,0,1,217.709748,0,1
0,1,1,0,0,0,0.045455,0.221934,48.453061,2.440816,0
0,2,0,0,0,0,0,0.578919,16.768421,11.421053,0
0.01,1,1,0,0,0,0.066667,0.379747,1.313501,0.148741,0
0,2,1,0,0,0,0.142857,0.283495,0.760257,3.992759,0
0.01,2,0,0,0.157895,0.052632,0,0.386889,9.834425,1.91885,0
0,2,1,0,0,0,0.083333,0.182708,2.954132,21.970576,0
